product_name,product_slug,post_parent,ID,post_status,sku,stock,visibility,stock_status,product_url,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,tax:translation_priority,attribute:pa_material,attribute_data:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute:pa_style,attribute_data:pa_style
"Year of the Tiger Necklace with Black Agate and Diamond",year-of-the-tiger-necklace-with-black-agate-and-diamond,,26735,publish,P33168KY18AB001,,,instock,,https://eji.com.hk/product/year-of-the-tiger-necklace-with-black-agate-and-diamond/,,simple,,,"CNY|Year of the Tiger",,,,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,
"Year of the Tiger Necklace with Black Agate, Sapphire Diamond",year-of-the-tiger-necklace-with-black-agate-sapphire-diamond,,26742,publish,P33168KY18AB001-1,,,instock,,https://eji.com.hk/product/year-of-the-tiger-necklace-with-black-agate-sapphire-diamond/,,simple,,,"CNY|Year of the Tiger",,,,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,
"Aquarius Necklace in 18K Rose Gold in Diamond and Green Garnet",aquarius-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,,26758,publish,P31912KP18GG,,,instock,,https://eji.com.hk/product/aquarius-necklace-in-18k-rose-gold-in-diamond-and-green-garnet/,,simple,,,zodiac,,,,"Diamond|Green garnet",0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Capricorn Necklace in 18K Rose Gold in Diamond and Green Garnet",capricorn-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,,26771,publish,P31911KP18GG,,,instock,,https://eji.com.hk/product/capricorn-necklace-in-18k-rose-gold-in-diamond-and-green-garnet/,,simple,,,zodiac,,,,"Diamond|Green garnet",0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Sagittarius Necklace in 18K Rose Gold in Diamond and Ruby",sagittarius-necklace-in-18k-rose-gold-in-diamond-and-ruby,,26772,publish,P31910KP18RB,,,instock,,https://eji.com.hk/product/sagittarius-necklace-in-18k-rose-gold-in-diamond-and-ruby/,,simple,,,zodiac,,,,Diamond|Ruby,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Pisces Necklace in 18K Rose Gold in Diamond and Sapphire",pisces-necklace-in-18k-rose-gold-in-diamond-and-sapphire,,26775,publish,P31913KP18SA001,,,instock,,https://eji.com.hk/product/pisces-necklace-in-18k-rose-gold-in-diamond-and-sapphire/,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Scorpio Necklace in 18K Rose Gold with Diamond and Sapphire",scorpio-necklace-in-18k-rose-gold-diamond-sapphire,,26777,publish,P31909KP18SA,,,instock,,https://eji.com.hk/product/scorpio-necklace-in-18k-rose-gold-diamond-sapphire/,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Libra Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",libra-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26779,publish,P31908KP18SP,,,instock,,https://eji.com.hk/product/libra-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Virgo Necklace in 18K Rose Gold with Diamond and Green Garnet",virgo-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26781,publish,P31907KP18GG,,,instock,,https://eji.com.hk/product/virgo-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,,simple,,,zodiac,,,,"Diamond|Green garnet",0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Leo Necklace in 18K Rose Gold with Diamond and Ruby",leo-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26783,publish,P31906KP18RB,,,instock,,https://eji.com.hk/product/leo-necklace-in-18k-rose-gold-with-diamond-and-ruby/,,simple,,,zodiac,,,,Diamond|Ruby,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
