post_title,post_content,post_status,sku,regular_price,stock_status,manage_stock,tax:product_type,tax:product_cat
"18K Pink Gold Yellow Sapphire, Pink Sapphire, Blue Sapphire and Diamond Pendant with Belcher Chain","2 Pear Shape Sapphire 0.37 ct
2 Pear Shape Pink Sapphire 0.37 ct 
1 Pear Shape Yellow Sapphire 0.18 ct
Claw/ Prong setting
",draft,P28029KP18V01001,560,instock,no,simple,Necklaces & Pendants
"18K Pink Gold Pink Sapphire, Sapphire and Diamond Pendant with Belcher Chain     ","Claw/ Prong, 1 Pear Shape Sapphire 0.47 ct , 1 Round Pink Sapphire 0.08 ct",draft,P28031KP18V01001,490,instock,no,simple,Necklaces & Pendants
"18K Pink Gold Yellow Sapphire, Pink Sapphire, Blue Sapphire and Diamond Pendant with Belcher Chain","Claw/ Prong, 1 Pear Shape Sapphire 0.22 ct 
1 Pear Shape Pink Sapphire 0.16 ct 
1 Pear Shape Yellow Sapphire 0.19 ct",draft,P28034KP18V01001,480,instock,no,simple,Necklaces & Pendants
"18K Pink Gold Rainbow Sapphire, Ruby, Greent Garnet and Diamond Pendant with Shinny Chain","Bezal, 1 Round Ruby 0.05 ct 
1 Round Sapphire 0.18 ct
1 Round Orange Sapphire 0.10 ct
1 Round Pink Sapphire 0.06 ct 
1 Round Yellow Sapphire 0.05 ct
2 Round Green Garnet 0.20 ct",draft,P28087KP18V01001,540,instock,no,simple,Necklaces & Pendants
Diamond Enamel Pendant with Rolo Chain,Claw/ Prong,draft,P24576GC18V01001,840,instock,no,simple,Necklaces & Pendants
Citrine Diamond Pendant,"Claw/ Prong, 1 Citrine4.40 ct",draft,P26230KW14CT001,415,instock,no,simple,Necklaces & Pendants
Blue Topaz Diamond Pendant,"Claw/ Prong, 1 Blue Topaz9.12 ct",draft,P26231KW14TB001,630,instock,no,simple,Necklaces & Pendants
Pink Sapphire Diamond Pendant with Belcher Chain,"Mirco-Pave, 1 Round Pink Sapphire 0.19 CT ",draft,P28041KP18SP001,470,instock,no,simple,Necklaces & Pendants
Sapphire Diamond Pendant with Belcher Chain,"Mirco-Pave, 1 Round Sapphire 0.10 CT ",draft,P28042GW18SA001,390,instock,no,simple,Necklaces & Pendants
Diamond Pendant with Shinny Cut Chain,Mirco-Pave,draft,P28078GW18DD003,325,instock,no,simple,Necklaces & Pendants
Diamond Earring,Claw/ Prong,draft,P25908KP18DD001,935,instock,no,simple,Necklaces & Pendants
Sapphire Diamond Pendant with Rolo Chain,"Claw/ Prong, 3 Marquise Sapphire 0.37 CT",draft,P28012GW18SA001,1250,instock,no,simple,Necklaces & Pendants
Sapphire Diamond Pendant with Rolo Chain,"Mirco-Pave, 1 Octagon Sapphire 0.82 CT ",draft,P27667KY18SA001,1675,instock,no,simple,Necklaces & Pendants
Ruby Diamond Pendant with Rolo Chain,"Mirco-Pave, 1 Pear Shape Ruby 0.45 CT ",draft,P27668KP18RB001,925,instock,no,simple,Necklaces & Pendants
Diamond Pendant with Shinny Cut Chain,Claw/ Prong,draft,P28051GW18DD000,875,,,simple,Necklaces & Pendants
Diamond Pendant with Shinny Cut Chain,Claw/ Prong,draft,P28052GW18DD000,845,,,simple,Necklaces & Pendants
Diamond Pendant with Belcher Chain,Claw/ Prong,draft,P28045KP18DD001,430,,,simple,Necklaces & Pendants
Diamond Pendant with Shinny Cut Chain,Claw/ Prong,draft,P28047GW18DD000,565,,,simple,Necklaces & Pendants
Diamond Pendant with Shinny Cut Chain,Claw/ Prong,draft,P37178GW18DD000,285,,,simple,Necklaces & Pendants
Diamond Pendant,Claw/ Prong,draft,P32535GW18DD001,795,,,simple,Necklaces & Pendants
Diamond Pendant with Rolo Chain,Claw/ Prong,draft,P24087GW18DD001,775,,,simple,Necklaces & Pendants
