sku,post_title,post_status,comment_status,regular_price,stock_status,tax_status,tax:product_type,tax:product_visibility,tax:product_cat,attribute:pa_material,attribute:pa_shape,attribute:pa_style
P28364KP18SP001,Open Circle Pink Sapphire Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond|Sapphire,Round | Baguettes,Circle|Geometric
P28365KP18DD001,Open Circle Baguette Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,Round | Baguettes,Circle|Geometric
P28370GW18DD001,Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,Round,Circle|Geometric
P28374KP18AM001,Open Circle Amethyst Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond | Amethyst,Round,Circle|Geometric
P28375KP18PA001,Open Circle Akoya Pearl Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond | Akoya Pearl,Round,Circle|Geometric
P28378GW18DD001,Cresecent Diamond Necklace in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28379GA18DD001,Geometric Open Circle Diamond Necklace in Two-tone 18K Gold (31mm),draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Geometric
P28380GC18DD001,Hearts Open Circle Diamond Necklace in Two-tone 18K Gold (31mm),draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Geometric
P28381GC18DD001,Geometric Open Circle Diamond Necklace in Two-tone 18K Gold (19mm),draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Geometric
P28382GA18DD001,Hearts Open Circle Diamond Necklace in Two-tone 18K Gold (19mm),draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28385GW18DD001,Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28386GW18DD001,Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P28388GC18DD001,Diamond Necklace in Two-tone 18k  Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P35538KW14V01001,Enamel Aquamarine Diamond Necklace in 18k White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond | Aquamarine,,
P35539KP14V01001,Enamel Pink Sapphire  Diamond Necklace in 18k Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond|Sapphire,,
P35540KP14V01001,Enamel Purple Sapphire Diamond Necklace in 18k Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond|Sapphire,,
P35541KW14V01001,Geometric Enamel Diamond Necklace in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Geometric
P35542KP14V01001,Pastel Enamel Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,
P35543KP14V01001,Geometric Enamel Diamond Necklace in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Necklaces,Diamond,,Geometric
E28359GW18DD001,Chain Diamond Huggie Earrings in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,
E28364KP18DD001,Baguette Diamond Huggie Earrings in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,
E28365KP18DD001,Open Circle Baguette Diamond Huggie Earrings in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,
E28370GW18DD001,Baguette Diamond Drop Earrings in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond|Sapphire,Round | Baguettes,Circle|Geometric
E28382GA18DD001,Heart diamond Earrings in Two-tone 18k gold ,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,
E28385GW18DD001,Diamond Stud Earrings in 18K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond,,
E35538KW14V01001,Enamel Aquamarine Diamond Earrings in 14K White Gold,draft,closed,5000,instock,taxable,simple,,JCK 2022|JCK 2022 > Earrings,Diamond | Aquarmarine,,
