sku,post_title,post_status,comment_status,regular_price,stock_status,tax_status,tax:product_type,tax:product_cat,attribute:pa_material,attribute:pa_shape,attribute:pa_style
R28361GC18DD001,Chain Diamond Ring in Two-Tone 18K Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28363KP18DD001,Double Band Half Eternity Diamond Ring in 18k Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28364KP18DD001,Diamond Ring in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28364KP18SP001,Pink Sapphire Diamond Ring in 18K Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond|Sapphire,,
R28368GC18DD001,Half Eternity Diamond Ring in 18K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28369GC18DD001,Half Eternity Double Band Diamond Ring in 18K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28370GW18DD001,Baguette Diamond Ring in 18k White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28371KP18DD001,Baguette Diamond Ring in 18k Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,Round | Baguettes,Circle|Geometric
R28372GC18DD001,Half Eternity Halo Diamond Ring in 18K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond | Amethyst,Round | Baguettes,Circle|Geometric
R28374KP18AM001,Amethyst Diamond Ring in 18k Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,Round,Circle|Geometric
R28376GW18DD001,Diamond Ring in 18k White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,Round,Circle|Geometric
R28379GA18DD001,Geometric Diamond Ring in Two-Tone 18k Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28384GC18DD001,Heart Diamond Ring in Two-tone 18k Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28385GW18DD001,Diamond Ring in 18k White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28386GW18DD001,Diamond Ring in 18k White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28387GC18DD001,Diamond Ring in Two-tone 18k  Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R28389GW18DD001,Diamond Ring in 18k White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35514KW14DD001,Half Eternity Solitaire Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35515KW14DD001,Half Eternity Solitaire Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35516KW14DD001,Half Eternity Solitaire Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35517KW14DD001,Half Eternity Solitaire Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35518KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35519KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35520KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35521KC14DD001,Double Halo Diamond Ring in Two-tone 14K Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35522KW14DD001,Half Eternity Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35523KW14DD001,Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35524KW14DD001,Star Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35526KC14DD001,Twist Halo Diamond Ring in Two-tone 14K Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35528KA14DD001,Two-tone Double Halo Diamond Ring in 14K White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35529KA14DD001,Half Eternity Solitaire Diamond Ring in Two-tone 14K  Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35530SVRCZ001,Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35531SVRCZ001 ,Half Eternity Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35532SVRCZ001 ,Half Eternity Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35533SVRCZ001,Half Eternity Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35534SVRCZ001,Twist Cathedral Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35535SVRCZ001,Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35536SVRCZ001,Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35537SVRCZ001,Solitaire CZ Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
R35542KP14V01001,Enamel Diamond Ring in 14k Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
R35543KP14V01001,Enamel Diamond Ring in 14k Rose Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
Z35514KW14DD001,Half Eternity Diamond Ring in 14 White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
Z35515KW14DD001,Half Eternity Diamond Ring in 14 White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
Z35516KW14DD001,Wave Half Eternity Diamond Ring in 14 White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
Z35517KW14DD001,Half Eternity Diamond Ring in 14 White Gold,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,Diamond,,
Z35534SVRCZ001,Twist CZ Band Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
Z35535SVRCZ001, CZ Band Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
Z35537SVRCZ001, CZ Band Ring in Silver,draft,closed,5000,instock,taxable,simple,JCK 2022|JCK 2022 > Rings,,,
