sku,post_title,post_status,comment_status,regular_price,stock_status,tax_status,tax:product_type,tax:product_visibility,tax:product_cat,attribute:pa_material,attribute:pa_shape,attribute:pa_style
B25938KW14DD044,Diamond Bracelet in 14k white gold,draft,closed,5000,instock,taxable,simple,,Bracelets & Bangles,Diamond,,
B25939KW14DD053,Diamond Bracelet in 14k white gold,draft,closed,5000,instock,taxable,simple,,Bracelets & Bangles,Diamond,,
B28311KP18DD001,Diamond Bracelet in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Bracelets & Bangles,Diamond,,
B34694KY18DD001,Diamond Bracelet in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Bracelets & Bangles,Diamond,,
E28265KP18SP001,Sapphire Diamond Earrings in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E28309KY18DD001,Diamond earrings in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E28363KP18DD001,Diamond earrings in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E34283SVRCZ001,CZ earrings in silver,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E34714SVRCZ001,CZ earrings in silver,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E34715SVRCZ001,CZ earrings in silver,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E34715SVRCZ001,CZ earrings in silver,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E34949GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
E40015KC18RB001,Ruby earrings in two tone 18k gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
N28137GW18AB001,large shadow necklace,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N28175GW18PA001,large swan necklace,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N28309KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N34689GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N34690KP18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N34691KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
N34701KY18DD001,Diamond necklace in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28277KP18V01001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28363KP18DD0001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28363KP18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28364KP18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28364KP18SP001,Diamond sapphire necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P28365KP18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P34948GW18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P34950SVRCZ001,CZ necklace in silver,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P34953SVRCZ001,CZ necklace in silver,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P34955SVRCZ001,CZ necklace in silver,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
P40015KC18RB001,Ruby necklace in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,Necklaces,Diamond,,
R28260KP18HA001,Diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R28363KP18DD001,Diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R28364KP18DD001,Diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R28364KP18SP001,Sapphire Diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34712SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34712SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34713SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34947GW18DD001,Diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34951SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34952SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R34954SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R35001SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R35002SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R35003SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R35004SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
R35005SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
RA35001SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
RA35002SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
RA35003SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
RA35004SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
RA35005SVRCZ001,CZ ring in silver,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
Z33173KW18DD001,Diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
Z33188KW18DD001,Diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
