Remark,sku,post_title,post_status,comment_status,regular_price,stock_status,tax:product_type,tax:product_cat
,B28431GA18DD001,Diamond bracelet in two tone 18k gold,draft,closed,5000,instock,simple,Bracelets
,B28432GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B28433GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B28434KP18DD001,Diamond bracelet in 18k rose gold,draft,closed,5000,instock,simple,Bracelets
,B28435GW18DD001,Diamond bracelet in 18k white gold,draft,closed,5000,instock,simple,Bracelets
,B28436GA18DD001,Diamond bracelet in two tone 18k gold,draft,closed,5000,instock,simple,Bracelets
,B28437KP18DD001,Diamond bracelet in 18k rose gold,draft,closed,5000,instock,simple,Bracelets
,E28401GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28407GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28422GW18DD001,Diamond drop earrings in18k white gold,draft,closed,5000,instock,simple,Earrings
,E28423KP18DD001,Diamond drop earrings in18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28424GA18SY001,Yellow sapphire diamond earrings in two tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28437KP18DD001,Diamond drop earrings in18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28454GA18DD001,Diamond earrings in two tone 18k gold,draft,closed,5000,instock,simple,Earrings
,E28455GW18V01001,Multi-sapphire aquamarine diamond drop earrings 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28456KY18V01001,Multi-sapphire aquamarine green garnet diamond drop earrings 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28457KP18V01001,Multi-sapphire diamond drop earrings 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28463GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28464KP18DD001,Diamond drop earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28465GC18DD001,Diamond earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28466GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28514GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28515GW18DD001,Diamond drop earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28523GW18DD001,Diamond heart stud earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28533GW18DD001,Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28534GW18DD001,Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28540KY18DD001,Diamond earrings in 18k gold,draft,closed,5000,instock,simple,Earrings
,E28541KP18DD001,Diamond drop earrings in 18k rose gold,draft,closed,5000,instock,simple,Earrings
,E28542GW18DD001,Diamond huggie drop earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28543GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,E28544KY18DD001,Diamond drop earrings in 18k gold,draft,closed,5000,instock,simple,Earrings
,E28545GW18DD001,Diamond huggie drop earrings in 18k white gold,draft,closed,5000,instock,simple,Earrings
,N28412GW18SA001,Diamond sapphire necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
,N28413GC18SP001,Diamond necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
,N28422GW18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,simple,Necklaces 
,N28423KP18DD001,Diamond necklace in 18k white gold,draft,closed,5000,instock,simple,Necklaces 
