sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
E40328KP18SP001,Sapphire diamond earrings in 18k rose gold,222529,Earrings,draft,closed,5000,instock,simple
E40330KP18SR001,Sapphire diamond earrings in 18k rose gold,222529,Earrings,draft,closed,5000,instock,simple
E40331GA18DD001,Diamond earrings in two tone 18k gold,222529,Earrings,draft,closed,5000,instock,simple
E40333GC18DD001,Diamond earrings in two tone 18k gold,222529,Earrings,draft,closed,5000,instock,simple
E40333GC18DD001,Diamond earrings in two tone 18k gold,222529,Earrings,draft,closed,5000,instock,simple
E40335GW18DD001,Diamond earrings in 18k white gold,222530,Earrings,draft,closed,5000,instock,simple
E40337KY18DD001,Diamond earrings in 18k gold,222530,Earrings,draft,closed,5000,instock,simple
EA40454GW18DD001,Diamond earrings in 18k gold,222755,Earrings,draft,closed,5000,instock,simple
P40328KP18SA001,Sapphire diamond necklace in 18k rose gold,222529,Necklaces,draft,closed,5000,instock,simple
P40329KP18SR001,Sapphire diamond necklace in 18k rose gold,222529,Necklaces,draft,closed,5000,instock,simple
P40330KY18SR001,Sapphire diamond necklace in 18k rose gold,222529,Necklaces,draft,closed,5000,instock,simple
P40331GC18DD001,Diamond necklace in two tone 18k gold,222529,Necklaces,draft,closed,5000,instock,simple
P40332GC18DD001,Diamond necklace in two tone 18k gold,222529,Necklaces,draft,closed,5000,instock,simple
P40333GA18DD001,Diamond necklace in two tone 18k gold,222529,Necklaces,draft,closed,5000,instock,simple
P40334GW18SA001,Sapphire diamond necklace in 18k white gold,222530,Necklaces,draft,closed,5000,instock,simple
P40336KP18SP001,Sapphire diamond necklace in 18k rose gold,222530,Necklaces,draft,closed,5000,instock,simple
P40338KY18DD001,Diamond necklace in 18k gold,222530,Necklaces,draft,closed,5000,instock,simple
P40339KP18SP001,Sapphire diamond necklace in 18k rose gold,222530,Necklaces,draft,closed,5000,instock,simple
P40454GW18DD001,Diamond necklace in 18k white gold,222755,Necklaces,draft,closed,5000,instock,simple
PA40454GW18DD001,Diamond necklace in 18k white gold,222755,Necklaces,draft,closed,5000,instock,simple
R40328KP18SA001,Sapphire diamond ring in 18k rose gold,222529,Rings,draft,closed,5000,instock,simple
R40329KP18SR001,Sapphire diamond ring in 18k rose gold,222529,Rings,draft,closed,5000,instock,simple
R40331GC18DD001,Diamond ring in two tone 18k gold,222529,Rings,draft,closed,5000,instock,simple
R40332GC18DD001,Diamond ring in two tone 18k gold,222529,Rings,draft,closed,5000,instock,simple
R40436GW18DD001,Diamond ring in 18k white gold,222624,Rings,draft,closed,5000,instock,simple
R40437KP18DD001,Diamond ring in 18k rose gold,222624,Rings,draft,closed,5000,instock,simple
R40438GW18DD001,Diamond ring in 18k white gold,222624,Rings,draft,closed,5000,instock,simple
R40439GW18DD001,Diamond ring in 18k white gold,222624,Rings,draft,closed,5000,instock,simple
R40440GW18DD001,Diamond ring in 18k white gold,222624,Rings,draft,closed,5000,instock,simple
R40441GW18DD001,Diamond ring in 18k white gold,222624,Rings,draft,closed,5000,instock,simple
R40454GW18DD001,Diamond ring in 18k white gold,222755,Rings,draft,closed,5000,instock,simple
RA40454GW18DD001,Diamond ring in 18k white gold,222755,Rings,draft,closed,5000,instock,simple
