sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
E28555GC18MO001,Morganite diamond earrings in two tone 18k gold,222942,Earrings,draft,closed,5000,instock,simple
E28556GC18MO001,Morganite diamond earrings in two tone 18k gold,222942,Earrings,draft,closed,5000,instock,simple
E28558GC18MO001,Morganite diamond earrings in two tone 18k gold,222942,Earrings,draft,closed,5000,instock,simple
E28560GC18MO001,Morganite diamond earrings in two tone 18k gold,222942,Earrings,draft,closed,5000,instock,simple
N28538GW18DD001,Diamond necklace in 18k white gold,222820,Necklaces,draft,closed,5000,instock,simple
P28555GC18MO001,Morganite diamond necklace in two tone 18k gold,222942,Necklaces,draft,closed,5000,instock,simple
P28556GC18MO001,Morganite diamond necklace in two tone 18k gold,222942,Necklaces,draft,closed,5000,instock,simple
P28558GC18MO001,Morganite diamond necklace in two tone 18k gold,222942,Necklaces,draft,closed,5000,instock,simple
P28559GC18MO001,Morganite diamond necklace in two tone 18k gold,222942,Necklaces,draft,closed,5000,instock,simple
P40340KP18SR001,Sapphire diamond necklace in 18k rose gold,222530,Necklaces,draft,closed,5000,instock,simple
P40376GW18SA001,Sapphire diamond necklace in 18k white gold,222530,Necklaces,draft,closed,5000,instock,simple
R28555GC18MO001,Morganite diamond necklace in two tone 18k gold,222942,Rings,draft,closed,5000,instock,simple
