sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
R23220KW14SA005,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R25809KW14SA001,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R25813KW14SA001,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R25815KW14SA001,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R26177KW14SA002,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R26180KW14SA001,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R26181KW14SA001,Sapphire diamond ring in 14k white gold,b colour,rings,draft,closed,5000,instock,simple
R26521KW18SA001,Sapphire diamond ring in 18k white gold,b colour,rings,draft,closed,5000,instock,simple
R26522KW18SA001,Sapphire diamond ring in 18k white gold,b colour,rings,draft,closed,5000,instock,simple
R26718KW14SA001,Sapphire diamond ring in 18k white gold,b colour,rings,draft,closed,5000,instock,simple
R34760KC18V01001,Sapphire diamond ring in two-tone 18k  gold,b colour,rings,draft,closed,5000,instock,simple
R34761KC18V01001,Sapphire diamond ring in two-tone 18k  gold,b colour,rings,draft,closed,5000,instock,simple
R34762KC18V01001,Sapphire diamond ring in two-tone 18k  gold,b colour,rings,draft,closed,5000,instock,simple
R34763KC18V01001,Sapphire diamond ring in two-tone 18k  gold,b colour,rings,draft,closed,5000,instock,simple
R39408KC18V01001,Sapphire diamond ring in two-tone 18k  gold,b colour,rings,draft,closed,5000,instock,simple
