sku,post_title,tax:product_tag,tax:product_cat,post_status,comment_status,regular_price,stock_status,tax:product_type
R22443KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R24281KW18DD003,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R25056KC14DD001,Diamond ring in two-tone 14k gold,avan gard,rings,draft,closed,5000,instock,simple
R25609KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R25800KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R25820KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R25825KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R26798KC18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
R26864KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R27165KC18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
R27167KC18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
R27957KA18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
R27963KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R27969KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R34765KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R34859KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R34863KC14DD001,Diamond ring in two tone 14k  gold,avan gard,rings,draft,closed,5000,instock,simple
R34866KC14DD001,Diamond ring in two tone 14k  gold,avan gard,rings,draft,closed,5000,instock,simple
R35517KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R35518KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R35521KC14DD001,Diamond ring in two tone 14k  gold,avan gard,rings,draft,closed,5000,instock,simple
R35525KW14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R35528KA14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R36719KP14DD001,Diamond ring in 14k white gold,avan gard,rings,draft,closed,5000,instock,simple
R38063KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R38451KC18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
R38892KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R38893KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R39415KW18DD001,Diamond ring in 18k white gold,avan gard,rings,draft,closed,5000,instock,simple
R39416KC18DD001,Diamond ring in two-tone 18k gold,avan gard,rings,draft,closed,5000,instock,simple
