Remark,sku,post_title,post_status,comment_status,regular_price,stock_status,tax_status,tax:product_type,tax:product_visibility,tax:product_cat,attribute:pa_material,attribute:pa_shape,attribute:pa_style
,B28425KY18DD001,Diamond bracelet in 18k yellow gold,draft,closed,5000,instock,taxable,simple,,Bracelets,Diamond,,
,E28338GW18DD001,Diamond earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,Diamond,,
,E28351GC18SR001,Sapphire Diamond huggie earrings in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,E28352KP18SR001,Sapphire Diamond huggie earrings in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,E28353KP18SR001,Sapphire Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,E28354GW18SR001,Sapphire Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,E28355GW18SR001,Sapphire Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,EA27935GW18DD001,Sapphire Diamond huggie earrings in 18k white gold,draft,closed,5000,instock,taxable,simple,,Earrings,"Diamond, sapphire",,
,N28311KP18DD001,Diamond necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces ,Diamond,,
,P28351GC18SR001,Sapphire diamond ring pendant necklace in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Necklaces ,"Diamond, sapphire",,
,P28354GW18SR001,Sapphire diamond  pendant necklace in 18k white gold,draft,closed,5000,instock,taxable,simple,,Necklaces ,"Diamond, sapphire",,
,P28355GW18SR001,Sapphire diamond necklace in 18k white gold,draft,closed,5000,instock,taxable,simple,,Necklaces ,"Diamond, sapphire",,
,R28338GW18DD001,Leaf diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R28351GC18SR001,Sapphire diamond ring in two-tone 18k gold,draft,closed,5000,instock,taxable,simple,,Rings,"Diamond, sapphire",,
,R28352KP18SR001,Sapphire diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,"Diamond, sapphire",,
,R28353KP18SR001,Channel set sapphire diamond ring in 18k rose gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R28354GW18SR001,Sapphire diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,"Diamond, sapphire",,
,R35136SVRPA001,Pearl diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,"Diamond, pearl",,
,R35222SVRCZ001,Criss cross diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R35223GW18DD001,Criss cross diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R35224SVRCZ001,Criss cross diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R35225SVRCZ001,Criss cross diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,R35226GW18DD001,Criss cross diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,RA27935GW18DD002,diamond ring in 18k white gold,draft,closed,5000,instock,taxable,simple,,Rings,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
,,,draft,closed,5000,instock,taxable,simple,,,Diamond,,
